latitude_ocorrencia,longitude_ocorrencia
-228.251.932,-433.449.292
-228.652.165,-432.970.556
-228.604.006,-434.884.116
-229.645.712,-431.897.517
-229.269.569,-432.173.886
-228.716.509,-432.562.752
-228.533.587,-433.383.604
-228.526.843,-433.424.974
-228.704.692,-43.245.423
-229.657.278,-431.959.756
-229.647.774,-431.896.295
-228.612.838,-432.805.393
-228.604.006,-434.884.116
-22.840.692,-432.880.248
-228.604.006,-434.884.116
-22.951.838,-433.546
-22.824.089.999.999.900,-43.381.924
-229.465.479,-433.697.197
-228.742.263,-434.685.442
-22.820.089,-4.329.428
-229.465.479,-433.697.197
-228.709.633,-434.426.703
-22.823.181,-433.594.717
-228.212.984,-432.852.622
-229.395.041,-432.515.359
-229.079.866,-432.660.959
-229.250.817,-432.143.265
-228.244.051,-43.386.729
-228.648.938,-432.623.787
-228.649.973,-43.261.258
-228.553.516,-432.422.473
-229.081.728,-432.214.442
-228.795.382,-43.489.301
-228.709.633,-434.426.703
-228.520.764,-433.467.838
-228.604.006,-434.884.116
-228.759.836,-433.024.082
-228.694.071,-434.790.849
-228.795.382,-43.489.301
-22.951.838,-433.546
-229.464.086,-433.696.807
-228.449.762,-433.682.066
-229.939.022,-432.358.343
-228.916.443,-432.204.492
-229.607.135,-431.695.418
-228.574.907,-43.329.357
-228.759.688,-43.526.314
-228.212.984,-432.852.622
-228.212.984,-432.852.622
-228.462.178,-433.671.282
-229.465.479,-433.697.197
-228.694.071,-434.790.849
-228.255.312,-4.334.446
-228.659.611,-434.650.851
-228.212.984,-432.852.622
-228.487.087,-432.825.345
-228.472.161,-432.754.407
-228.460.739,-432.965.516
-22.972.361,-431.874.237
-228.388.125,-432.950.253
-228.436.111,-432.936.111
-228.436.111,-432.936.111
-228.604.006,-434.884.116
-2.282.304,-433.279.105
-228.229.118,-433.767.869
-228.626.502,-432.679.983
-22.860.269,-43.484.465
-228.949.911,-434.818.929
-229.395.041,-432.515.359
-228.622.012,-432.638.393
-228.604.006,-434.884.116
-229.078.627,-43.265.928.099.999.900
-229.135.675,-432.556.792
-22.823.181,-433.594.717
-228.613.778,-43.495.223
-228.243.668,-433.455.832
-228.557.732,-432.461.652
-228.612.838,-432.805.393
-228.602.688,-434.844.901
-22.851.271,-43.247.003
-229.645.712,-431.897.517
-229.645.712,-431.897.517
-229.645.712,-431.897.517
-228.602.688,-434.844.901
-228.709.633,-434.426.703
-228.936.111,-433.163.889
-229.000.912,-43.316.176
-229.044.618,-43.315.344
-228.910.293,-433.342.192
-229.044.618,-43.315.344
-228.936.111,-433.163.889
-228.612.838,-432.805.393
-228.602.688,-434.844.901
-228.617.882,-432.779.835
-228.927.052,-432.487.744
-229.222.117,-431.776.539
-228.472.161,-432.754.407
-229.642.031,-431.899.405
-228.694.071,-434.790.849
-228.694.071,-434.790.849
-228.428.941,-433.355.731
-229.458.747,-433.670.755
-229.225,-431.925
-2.282.304,-433.279.105
-229.018.051,-43.317.418
-228.793.748,-434.896.872
-228.624.406,-432.747.796
-228.593.107,-432.754.362
-22.899.582,-43.196.128
-228.614.271,-434.952.227
-228.302.817,-433.166.841
-228.627.778,-433.152.778
-22.834.677,-43.379.716
-229.044.622,-433.153.115
-228.229,-43.363.025
-228.255.312,-4.334.446
-228.922.109,-4.323.951
-228.814.171,-433.512.363
-228.604.006,-434.884.116
-228.966.753,-43.245.079
-228.614.271,-434.952.227
-228.578.104,-432.431.225
-22.859.312,-43.268.498
-22.867.285,-432.485.796
-228.578.104,-432.431.225
-228.553.624,-434.881.302
-228.852.539,-432.523.889
-229.225,-431.925
-22.823.181,-433.594.717
-228.470.446,-432.973.528
-228.376.379,-433.451.359
-228.255.312,-4.334.446
-228.257.676,-433.389.194
-229.196.515,-436.843.877
-229.128.703,-432.845.545
-229.465.479,-433.697.197
-228.109.713,-431.874.947
-229.884.717,-43.247.895
-229.344.866,-433.291.604
-228.461.146,-432.766.175
-229.385.902,-432.525.441
-2.291.389,-4.328.478
-229.291.778,-432.272.289
-229.816.912,-431.962.577
-228.229.624,-432.834.358
-229.301.574,-432.084.707
-228.899.874,-432.736.259
-228.488.289,-432.822.927
-228.960.142,-433.213.563
-228.593.331,-43.275.475.900.000.000
-228.604.006,-434.884.116
-228.604.006,-434.884.116
-228.617.882,-432.779.835
-228.675.722,-433.252.865
-228.259.057,-433.872.447
-228.588.459,-434.892.169
-228.675.722,-433.252.865
-228.627.778,-433.152.778
-228.472.161,-432.754.407
-22.945.256,-433.638.495
-228.604.006,-434.884.116
-22.951.838,-433.546
-228.603.436,-434.915.606
-229.897.576,-43.252.715
-228.603.985,-432.821.082
-228.593.331,-43.275.475.900.000.000
-228.795.382,-43.489.301
-229.521.938,-433.544.657
-22.883.501,-43.270.756
-228.604.006,-434.884.116
-228.492.749,-433.501.379
-228.472.161,-432.754.407
-229.465.479,-433.697.197
-228.580.387,-432.705.382
-228.550.195,-434.971.339
-22.953.199,-433.588.189
-228.845.013,-435.502.555
-228.245.503,-433.387.101
-229.100.646,-432.543.042
-228.578.104,-432.431.225
-229.135.675,-432.556.792
-228.604.006,-434.884.116
-228.604.006,-434.884.116
-228.604.006,-434.884.116
-228.160.216,-4.330.331
-228.969.198,-433.516.802
-228.331.178,-433.022.257
-228.593.331,-43.275.475.900.000.000
-229.008.826,-431.778.419
-228.627.778,-433.152.778
-228.597.169,-432.717.521
-22.913.164,-432.848.103
-228.618.686,-434.910.549
-228.404.749,-432.771.263
-22.863.617,-432.791.188
-228.651.855,-433.663.751
-228.505.933,-432.428.936
-229.441.667,-432.408.333
-228.622.983,-434.914.814
-228.604.006,-434.884.116
-228.131.401,-43.382.459
-228.622.983,-434.914.814
-228.613.778,-43.495.223
-228.456.304,-432.976.538
-23.024.845,-434.754.151
-228.552.714,-43.242.187.799.999.900
-229.265.873,-432.269.271
-228.552.714,-43.242.187.799.999.900
-228.472.362,-432.500.419
-228.920.063,-434.274.927
-228.552.714,-43.242.187.799.999.900
-229.259.539,-432.487.131
-228.505.933,-432.428.936
-228.229.118,-433.767.869
-229.441.667,-432.408.333
-229.441.667,-432.408.333
-228.786.524,-434.285.172
-228.380.145,-432.866.041
-228.505.384,-432.429.343
-229.135.675,-432.556.792
-229.410.232,-43.382.807
-228.436.111,-432.936.111
-228.624.341,-432.748.755
-228.613.778,-43.495.223
-228.230.742,-433.861.426
-228.436.111,-432.936.111
-228.436.111,-432.936.111
-229.939.022,-432.358.343
-22.834.677,-43.379.716
-22.846.059,-43.281.899
-228.627.778,-433.152.778
-228.674.795,-432.360.836
-228.472.161,-432.754.407
-22.863.661,-43.311.145
-228.358.488,-433.920.928
-22.823.181,-433.594.717
-228.489.764,-432.814.215
-229.683.529,-436.216.275
-229.197.222,-432.827.778
-22.951.901,-43.354.731
-228.690.285,-432.376.882
-229.356.777,-432.033.453
-22.947.112,-43.366.371
-228.552.714,-43.242.187.799.999.900
-228.388.125,-432.950.253
-228.249.413,-433.444.695
-22.869.279,-43.237.609
-228.559.808,-432.442.351
-228.763.889,-433.033.333
-229.465.479,-433.697.197
-228.553.516,-432.422.473
-228.613.778,-43.495.223
-228.473.512,-432.840.744
-228.553.578,-43.244.551
-228.593.331,-43.275.475.900.000.000
-228.936.111,-433.163.889
-228.473.512,-432.840.744
-228.551.501,-432.446.281
-228.429.787,-432.938.186
-228.460.739,-432.965.516
-22.947.288,-43.366.493
-228.568.696,-432.428.977
-228.646.137,-433.621.545
-228.304.806,-433.016.459
-229.451.439,-433.638.365
-228.533.587,-433.383.604
-228.436.111,-432.936.111
-229.395.041,-432.515.359
-22.834.677,-43.379.716
-228.311.384,-433.506.033
-229.939.022,-432.358.343
-229.903.874,-434.315.403
-228.550.861,-433.185.442
-228.627.778,-433.152.778
-229.384.852,-432.516.233
-228.021.232,-431.898.714
-229.879.841,-432.479.825
-228.753.381,-43.339.428
-228.217.987,-433.986.245
-229.442.116,-433.678.663
-228.556.488,-432.421.736
-228.246.493,-433.727.275
-228.595.673,-434.917.482
-228.627.778,-433.152.778
-22.869.868,-4.331.098
-22.863.617,-432.791.188
-229.395.041,-432.515.359
-228.658.549,-432.764.278
-229.347.222,-432.047.222
-229.293.995,-4.325.311
-229.049.333,-431.908.134
-229.465.479,-433.697.197
-228.981.085,-432.698.794
-228.229.118,-433.767.869
-228.679.549,-433.171.589
-228.694.071,-434.790.849
-22.856.292,-4.348.988
-229.928.762,-432.374.846
-22.947.321,-431.943.601
-228.456.304,-432.976.538
-22.905.568,-433.081.672
-229.223.401,-431.922.501
-22.820.226,-43.293.957
-229.214.951,-431.929.035
-229.965.886,-432.460.678
-228.438.243,-433.564.595
-229.078.627,-43.265.928.099.999.900
-229.939.022,-432.358.343
-228.472.161,-432.754.407
-22.896.173,-433.215.519
-229.939.022,-432.358.343
-228.686.447,-433.173.943
-228.627.778,-433.152.778
-229.223.401,-431.922.501
-229.052.507,-432.340.127
-228.920.063,-434.274.927
-229.052.266,-432.348.137
-228.429.787,-432.938.186
-229.879.841,-432.479.825
-228.230.865,-432.831.569
-228.429.787,-432.938.186
-228.961.141,-434.777.639
-22.943.603,-43.241.073
-229.083.192,-432.330.991
-228.963.277,-43.479.005
-228.604.006,-434.884.116
-22.895.398,-43.475.532
-228.604.006,-434.884.116
-228.563.684,-434.898.289
-229.192.107,-43.198.104
-22.847.309,-43.285.511
-228.675.722,-433.252.865
-228.648.843,-43.285.858
-228.517.274,-432.882.225
-228.473.512,-432.840.744
-229.128.005,-433.867.145
-228.961.141,-434.777.639
-228.603.523,-434.886.467
-228.936.373,-432.474.624
-228.796.092,-432.542.528
-228.640.669,-433.359.107
-228.604.006,-434.884.116
-229.052.507,-432.340.127
-228.613.778,-43.495.223
-228.285.759,-434.099.496
-228.675.281,-433.444.567
-229.480.397,-431.940.578
-228.431.118,-432.762.054
-228.463.683,-432.813.632
-228.718.566,-433.355.381
-22.883.501,-43.270.756
-22.901.158,-43.267.297
-22.856.358,-43.490.023
-229.395.041,-432.515.359
-229.046.406,-435.629.116
-228.686.447,-433.173.943
-228.604.006,-434.884.116
-229.003.269,-431.950.902
-22.879.962,-4.350.134
-228.806.087,-432.722.272
-228.694.071,-434.790.849
-228.524.903,-433.424.532
-228.604.006,-434.884.116
-229.465.479,-433.697.197
-228.799.105,-432.263.825
-228.443.491,-433.232.005
-228.875.893,-432.527.367
-228.216.121,-433.986.545
-228.599.749,-433.698.936
-228.254.165,-433.962.056
-229.799.415,-431.950.331
-228.234.412,-432.959.357
-22.823.181,-433.594.717
-228.694.071,-434.790.849
-228.472.161,-432.754.407
-229.205.769,-432.086.806
-22.823.181,-433.594.717
-228.961.141,-434.777.639
-228.422.924,-433.735.841
-229.505.665,-433.615.253
-228.996.549,-432.858.126
-228.654.866,-432.619.815
-22.873.345,-43.330.255
-228.453.344,-433.558.285
-229.354.287,-43.186.507
-229.879.841,-432.479.825
-228.725.334,-433.363.639
-228.581.095,-434.875.308
-228.888.633,-433.190.536
-228.799.105,-432.263.825
-228.622.012,-432.638.393
-228.738.066,-432.508.498
-228.667.128,-433.345.624
-228.648.938,-432.623.787
-228.849.004,-433.139.367
-228.718.566,-433.355.381
-228.599.749,-433.698.936
-228.694.071,-434.790.849
-228.919.859,-43.279.967
-228.961.141,-434.777.639
-22.823.181,-433.594.717
-22.848.953,-433.778.859
-228.240.137,-433.642.564
-228.240.137,-433.642.564
-229.645.712,-431.897.517
-228.961.141,-434.777.639
-22.805.921,-4.331.487
-22.860.562,-434.884.837
-229.289.569,-433.641.774
-228.364.368,-433.214.277
-228.456.304,-432.976.538
-229.324.691,-432.557.445
-228.604.006,-434.884.116
-228.604.006,-434.884.116
-228.969.198,-433.516.802
-228.758.132,-434.291.023
-22.922.402,-43.250.029
-228.627.088,-432.540.135
-228.574.907,-43.329.357
-228.595.145,-432.672.425
-229.000.812,-432.298.581
-229.465.479,-433.697.197
-229.297.248,-432.266.288
-228.960.142,-433.213.563
-22.864.444,-43.328.136
-228.604.006,-434.884.116
-228.694.071,-434.790.849
-229.148.773,-432.509.408
-229.395.041,-432.515.359
-228.255.312,-4.334.446
-228.581.095,-434.875.308
-229.135.675,-432.556.792
-228.612.593,-432.758.573
-228.550.945,-434.970.808
-229.136.108,-432.584.029
-229.100.018,-433.185.884
-228.538.742,-433.112.132
-228.487.441,-432.828.813
-228.151.266,-433.156.697
-228.604.006,-434.884.116
-228.593.331,-43.275.475.900.000.000
-22.801.605,-431.911.475
-229.808.979,-431.944.566
-228.593.517,-432.756.509
-22.881.318,-43.341.776
-228.489.764,-432.814.215
-228.594.119,-432.764.793
-229.083.251,-433.165.725
-229.694.417,-431.868.448
-229.135.675,-432.556.792
-229.630.102,-433.937.029
-229.465.479,-433.697.197
-228.675.722,-433.252.865
-228.623.344,-432.795.687
-229.270.306,-432.423.874
-228.795.382,-43.489.301
-22.860.177,-43.488.728
-228.667.128,-433.345.624
-228.803.283,-432.701.093
-22.856.814,-4.349.791
-22.986.841,-432.425.914
-229.083.251,-433.165.725
-228.168.322,-433.782.826
-227.983.934,-432.083.708
-228.612.129,-434.246.846
-228.718.561,-434.154.546
-228.588.961,-434.870.104
-228.550.195,-434.971.339
-228.715.635,-433.356.763
-228.109.797,-433.308.426
-228.613.889,-434.211.111
-228.345.266,-432.714.826
-228.830.887,-432.486.605
-228.694.071,-434.790.849
-228.826.376,-432.492.415
-228.472.161,-432.754.407
-228.614.271,-434.952.227
-228.649.973,-43.261.258
-228.796.207,-432.516.466
-228.916.605,-434.206.169
-229.093.332,-432.967.433
-22.908.442,-43.313.784
-228.581.095,-434.875.308
-228.195.431,-433.709.897
-228.184.513,-433.030.143
-229.171.709,-433.871.753
-22.860.562,-434.884.837
-229.078.627,-43.265.928.099.999.900
-227.887.428,-431.793.122
-228.991.167,-433.687.221
-228.593.331,-43.275.475.900.000.000
-229.263.867,-432.207.359
-229.250.817,-432.143.265
-228.622.222,-432.405.556
-22.885.174,-432.526.603
-22.870.248,-43.241.696
-22.860.855,-43.244.405
-228.627.817,-4.326.803
-229.482.633,-431.938.208
-228.553.624,-434.881.302
-228.709.173,-432.361.706
-229.034.484,-43.191.604
-229.250.817,-432.143.265
-229.161.452,-431.952.278
-228.830.377,-432.457.507
-228.624.406,-432.747.796
-228.796.578,-434.896.091
-229.939.022,-432.358.343
-22.908.622,-43.266.749
-228.231.509,-433.765.477
-228.741.298,-433.674.656
-228.605.013,-4.349.446
-228.627.778,-433.152.778
-22.842.644,-432.671.421
-22.794.941,-43.197.254
-228.709.633,-434.426.703
-229.441.667,-432.408.333
-228.593.331,-43.275.475.900.000.000
-228.552.714,-43.242.187.799.999.900
-228.662.498,-433.275.184
-22.913.164,-432.848.103
-22.867.538,-43.327.339
-229.395.041,-432.515.359
-228.826.376,-432.492.415
-229.650.763,-431.966.977
-228.212.984,-432.852.622
-228.420.244,-433.724.711
-228.552.714,-43.242.187.799.999.900
-229.465.479,-433.697.197
-228.836.356,-434.384.666
-22.890.157,-43.487.529
-22.890.157,-43.487.529
-228.604.006,-434.884.116
-228.986.468,-433.523.871
-228.986.468,-433.523.871
-228.604.006,-434.884.116
-229.388.328,-432.531.568
-228.887.168,-432.290.004
-228.558.216,-43.315.785
-228.986.468,-433.523.871
-22.987.354,-4.324.543
-229.354.587,-432.118.946
-22.863.392,-4.333.619
-228.588.459,-434.892.169
-228.599.396,-433.228.649
-228.763.889,-433.033.333
-230.010.762,-432.846.492
-22.889.002,-432.306.617
-22.866.284,-43.286.398
-23.024.845,-434.754.151
-228.947.249,-43.472.396
-228.654.866,-432.619.815
-228.789.891,-43.308.567
-229.052.507,-432.340.127
-228.675.722,-433.252.865
-228.784.393,-433.046.311
-228.369.575,-432.744.151
-228.695.107,-434.558.134
-229.320.416,-431.971.936
-228.545.303,-432.395.883
-228.229.118,-433.767.869
-228.842.535,-434.186.664
-228.604.006,-434.884.116
-22.917.103,-432.060.102
-229.461.653,-433.644.891
-229.160.745,-4.320.327
-229.052.507,-432.340.127
-228.613.778,-43.495.223
-2.294.613,-43.364.601
-229.481.408,-433.625.659
-229.937.456,-432.335.964
-229.461.653,-433.644.891
-22.908.622,-43.266.749
-228.472.161,-432.754.407
-22.881.371,-43.501.761
-228.766.004,-435.278.572
-229.250.817,-432.143.265
-229.465.479,-433.697.197
-229.347.222,-432.047.222
-22.863.406,-432.873.784
-228.763.889,-433.033.333
-228.680.654,-43.317.228
-228.597.925,-433.035.082
-228.795.382,-43.489.301
-228.680.654,-43.317.228
-229.584.623,-433.730.066
-228.641.667,-433.238.889
-228.474.302,-432.839.712
-228.613.778,-43.495.223
-229.433.449,-433.707.495
-229.939.022,-432.358.343
-229.128.703,-432.845.545
-228.612.846,-434.217.565
-229.395.041,-432.515.359
-228.237.941,-433.629.166
-22.820.089,-4.329.428
-228.218.489,-434.124.805
-228.595.673,-434.917.482
-228.694.071,-434.790.849
-228.599.749,-433.698.936
-228.722.222,-432.913.889
-228.825.916,-432.492.432
-228.584.392,-43.492.846
-228.230.742,-433.861.426
-228.638.101,-435.089.118
-228.694.071,-434.790.849
-228.755.134,-432.521.258
-228.713.243,-434.870.367
-228.713.243,-434.870.367
-229.465.479,-433.697.197
-22.848.431,-43.366.117
-229.474.668,-433.600.123
-228.544.139,-4.333.986
-228.795.382,-43.489.301
-228.017.839,-431.910.147
-22.825.859,-43.387.195
-22.799.389,-431.790.549
-22.946.363,-43.364.667
-229.395.041,-432.515.359
-22.951.838,-433.546
-228.530.726,-432.396.257
-229.461.653,-433.644.891
-229.945.623,-432.553.998
-228.275.683,-433.346.996
-229.297.248,-432.266.288
-229.442.262,-433.678.585
-228.511.023,-433.774.746
-228.604.006,-434.884.116
-229.465.479,-433.697.197
-22.837.814,-43.412.729
-229.395.041,-432.515.359
-228.511.023,-433.774.746
-228.975.387,-432.634.795
-229.122.891,-43.198.844
-228.622.983,-434.914.814
-228.408.792,-433.775.402
-228.669.393,-432.558.201
-228.437.122,-433.755.795
-228.641.441,-43.449.693
-229.674.264,-437.056.394
-228.604.006,-434.884.116
-229.335.131,-432.376.453
-228.604.006,-434.884.116
-228.915.283,-434.208.026
-228.385.589,-433.340.449
-229.939.022,-432.358.343
-22.946.093,-43.364.663
-229.052.507,-432.340.127
-228.875.573,-432.581.953
-228.313.558,-43.302.223
-22.912.837,-43.236.077
-22.907.614,-43.265.112
-229.265.873,-432.269.271
-228.376.939,-43.357.947
-228.969.198,-433.516.802
-228.604.006,-434.884.116
-229.395.041,-432.515.359
-228.050.083,-433.197.864
-229.196.001,-432.855.347
-228.622.904,-434.865.673
-229.218.498,-43.197.146.000.000.000
-228.472.161,-432.754.407
-229.196.001,-432.855.347
-229.395.041,-432.515.359
-228.513.981,-4.328.146
-229.052.587,-432.347.508
-228.556.597,-43.243.679
-228.490.803,-434.878.281
-22.879.504,-434.528.715
-229.237.541,-431.980.773
-229.232.035,-431.956.407
-228.654.866,-432.619.815
-228.923.941,-434.177.244
-228.789.973,-433.299.551
-228.624.341,-432.748.755
-228.511.023,-433.774.746
-2.284.988,-432.864.161
-228.499.276,-432.863.576
-229.389.214,-432.536.339
-22.931.857,-43.254.938
-22.866.831,-4.336.343
-229.520.949,-43.339.625
-2.284.988,-432.864.161
-228.094.553,-433.089.519
-228.614.271,-434.952.227
-228.923.941,-434.177.244
-229.414.495,-432.539.301
-229.510.851,-431.841.077
-229.120.556,-436.146.683
-228.604.006,-434.884.116
-229.194.041,-432.016.833
-229.474.668,-433.600.123
-228.848.267,-432.552.778
-22.869.447,-433.176.696
-228.820.321,-432.496.748
-22.904.922,-43.239.879
-22.951.386,-43.360.847
-22.881.371,-43.501.761
-22.881.371,-43.501.761
-229.514.539,-43.360.665
-229.657.278,-431.959.756
-229.167.399,-431.961.757
-228.662.498,-433.275.184
-228.953.844,-433.006.874
-229.138.438,-432.849.148
-229.192.378,-431.981.211
-22.949.485,-43.375.116
-229.185.946,-432.040.269
-2.292.602,-43.196.796
-228.604.006,-434.884.116
-228.552.714,-43.242.187.799.999.900
-22.946.447,-433.645.179
-228.603.985,-432.821.082
-228.759.836,-433.024.082
-228.388.209,-432.948.963
-228.504.365,-432.441.323
-229.474.668,-433.600.123
-229.292.805,-432.027.587
-228.694.071,-434.790.849
-228.604.006,-434.884.116
-229.395.041,-432.515.359
-228.833.462,-435.599.636
-228.554.908,-432.426.073
-228.964.465,-432.453.538
-229.136,-43.284.855
-229.342.988,-432.040.917
-228.297.142,-433.891.636
-229.052.507,-432.340.127
-229.395.041,-432.515.359
-228.553.516,-432.422.473
-228.601.663,-432.440.262
-228.739.477,-434.776.707
-229.496.137,-43.375.854
-22.863.617,-432.791.188
-228.543.104,-43.241.442
-228.322.403,-433.904.486
-22.822.224,-43.370.468
-22.825.859,-43.387.195
-229.110.577,-432.564.735
-229.395.041,-432.515.359
-228.563.684,-434.898.289
-229.046.925,-43.357.058
-22.819.436,-43.366.907
-229.135.216,-432.857.863
-228.604.006,-434.884.116
-228.281.973,-433.983.788
-228.814.998,-432.603.494
-228.505.384,-432.429.343
-228.436.111,-432.936.111
-229.012.039,-432.495.281
-229.395.041,-432.515.359
-22.951.295.000.000.000,-433.605.904
-228.436.111,-432.936.111
-228.595.673,-434.917.482
-228.456.304,-432.976.538
-229.222.022,-431.797.866
-228.640.461,-432.870.841
-22.923.314,-431.795.422
-228.072.883,-433.041.478
-228.875.573,-432.581.953
-22.887.329,-432.525.851
-229.044.618,-43.315.344
-228.906.068,-434.157.059
-22.865.576,-43.460.486
-228.612.846,-434.217.565
-229.395.041,-432.515.359
-229.078.951,-433.092.419
-22.943.946,-4.320.259
-22.921.194,-43.226.644
-228.473.512,-432.840.744
-228.550.286,-434.921.358
-228.386.111,-433.447.222
-229.395.041,-432.515.359
-229.465.479,-433.697.197
-228.694.071,-434.790.849
-229.465.479,-433.697.197
-228.830.377,-432.457.507
-228.593.331,-43.275.475.900.000.000
-228.249.018,-433.832.749
-22.860.384,-43.488.174
-228.257.676,-433.389.194
-228.456.876,-433.575.001
-228.761.697,-43.254.761
-228.627.088,-432.540.135
-228.230.742,-433.861.426
-228.720.366,-434.532.394
-228.627.088,-432.540.135
-229.441.667,-432.408.333
-229.441.667,-432.408.333
-22.861.204,-4.345.277
-228.550.195,-434.971.339
-228.255.312,-4.334.446
-228.766.229,-432.969.097
-228.595.673,-434.917.482
-228.691.074,-432.377.013
-228.624.364,-432.405.429
-228.230.742,-433.861.426
-228.594.341,-432.754.066
-229.294.437,-432.385.886
-228.204.814,-433.204.012
-229.448.909,-4.336.518
-228.880.977,-4.322.776
-228.627.088,-432.540.135
-229.045.133,-432.004.043
-228.604.006,-434.884.116
-228.691.074,-432.377.013
-228.906.068,-434.157.059
-229.086.131,-432.382.131
-228.742.263,-434.685.442
-229.395.041,-432.515.359
-22.893.675.000.000.000,-432.475.082
-228.830.377,-432.457.507
-229.240.314,-431.937.204
-228.480.298,-433.773.093
-228.599.749,-433.698.936
-228.473.512,-432.840.744
-22.917.995,-432.188.609
-229.395.041,-432.515.359
-229.942.479,-433.068.353
-229.045.781,-433.011.328
-228.703.855,-434.798.073
-22.860.384,-43.488.174
-228.606.928,-433.251.981
-228.651.569,-43.272.025
-228.662.498,-433.275.184
-228.600.128,-43.315.981
-228.140.769,-432.308.618
-228.694.071,-434.790.849
-228.315.619,-432.758.748
-228.134.407,-432.297.496
-229.144.826,-432.040.139
-228.517.151,-43.379.869
-22.873.096,-43.331.595
-229.178.289,-432.350.143
-228.201.329,-43.294.773
-228.820.321,-432.496.748
-228.292.258,-433.860.529
-229.266.359,-43.670.649
-230.003.709,-43.365.895
-22.825.899,-43.387.078
-22.825.859,-43.387.195
-228.332.639,-432.865.567
-22.833.054,-43.286.724
-229.205.769,-432.086.806
-2.294.997,-43.354.799
-228.889.072,-432.391.525
-228.658.219,-43.310.471
-228.607.331,-432.442.605
-228.709.633,-434.426.703
-228.868.503,-432.884.473
-228.709.633,-434.426.703
-228.856.237,-433.481.044
-228.595.673,-434.917.482
-228.654.249,-432.958.533
-228.725.334,-433.363.639
-229.128.703,-432.845.545
-229.263.867,-432.207.359
-228.604.006,-434.884.116
-229.395.041,-432.515.359
-228.593.866,-432.754.314
-229.879.841,-432.479.825
-229.283.724,-431.788.214
-228.195.431,-433.709.897
-228.561.214,-434.929.487
-229.128.703,-432.845.545
-229.395.041,-432.515.359
-228.178.855,-433.796.429
-228.742.263,-434.685.442
-229.325.728,-432.410.248
-22.860.562,-434.884.837
-22.823.881,-4.327.475
-229.465.479,-433.697.197
-228.759.688,-43.526.314
-228.676.677,-432.782.315
-229.614.006,-432.049.065
-22.811.487,-433.207.177
-229.879.841,-432.479.825
-229.226.352,-432.110.883
-227.741.507,-431.571.559
-229.879.841,-432.479.825
-228.716.509,-432.562.752
-228.691.837,-433.762.613
-228.604.006,-434.884.116
-22.860.859,-43.244.306
-228.941.516,-432.471.274
-228.713.243,-434.870.367
-229.395.041,-432.515.359
-228.604.006,-434.884.116
-228.364.807,-433.632.981
-229.128.703,-432.845.545
-228.443.491,-433.232.005
-229.226.205,-431.915.722
-229.356.777,-432.033.453
-229.395.041,-432.515.359
-228.875.573,-432.581.953
-22.946.331,-43.369.485
-228.647.372,-432.727.082
-228.793.599,-434.894.845
-229.395.041,-432.515.359
-228.875.573,-432.581.953
-228.255.312,-4.334.446
-228.793.599,-434.894.845
-229.465.479,-433.697.197
-228.526.248,-433.428.331
-22.819.362,-43.366.922
-228.725.334,-433.363.639
-228.649.668,-432.683.938
-22.825.296,-434.023.442
-228.875.573,-432.581.953
-228.987.553,-435.414.048
-229.465.479,-433.697.197
-229.227.094,-43.191.491
-228.554.009,-432.468.989
-22.948.265,-43.369.159
-22.850.691,-43.242.375
-22.947.544,-43.369.064
-229.395.041,-432.515.359
-229.939.022,-432.358.343
-228.568.696,-432.428.977
-228.571.956,-434.979.109
-229.356.777,-432.033.453
-22.825.991.899.999.900,-433.869.468
-228.505.933,-432.428.936
-229.344.832,-432.570.574
-228.799.158,-434.891.024
-228.799.158,-434.891.024
-228.941.516,-432.471.274
-22.867.885,-433.403.068
-228.742.263,-434.685.442
-228.581.095,-434.875.308
-228.627.778,-433.152.778
-228.996.416,-432.227.488
-228.593.866,-432.754.314
-228.662.498,-433.275.184
-228.624.341,-432.748.755
-228.716.509,-432.562.752
-228.487.087,-432.825.345
-228.487.087,-432.825.345
-228.759.836,-433.024.082
-228.795.382,-43.489.301
-228.763.889,-433.033.333
-228.675.722,-433.252.865
-228.697.797,-435.087.351
-229.879.622,-432.480.261
-228.729.313,-432.404.233
-228.691.074,-432.377.013
-22.980.727,-43.194.587
-228.627.778,-433.152.778
-228.859.403,-432.550.831
-22.868.809,-43.421.977
-228.382.119,-433.659.642
-229.062.445,-43.236.919
-228.017.839,-431.910.147
-228.709.198,-43.236.077
-229.465.479,-433.697.197
-228.604.006,-434.884.116
-228.503.036,-433.772.937
-228.604.006,-434.884.116
-229.044.618,-43.315.344
-229.442.262,-433.678.585
-229.090.869,-432.553.349
-229.142.752,-432.867.987
-228.516.327,-433.783.135
-228.218.082,-43.283.906
-228.207.342,-432.918.436
-228.053.883,-431.868.232
-228.604.006,-434.884.116
-228.593.866,-432.754.314
-228.893.332,-432.297.856
-22.948.047,-43.368.372
-228.300.572,-433.492.919
-229.807.789,-433.242.199
-228.016.667,-431.902.778
-228.593.866,-432.754.314
-228.613.816,-433.437.682
-228.612.593,-432.758.573
-229.395.041,-432.515.359
-228.624.341,-432.748.755
-229.225,-431.925
-228.432.308,-432.510.036
-22.91,-432.575
-228.830.377,-432.457.507
-229.188.027,-432.578.081
-228.912.536,-433.446.164
-228.820.321,-432.496.748
-228.624.406,-432.747.796
-228.969.369,-432.330.511
-228.545.227,-432.396.581
-228.604.006,-434.884.116
-229.483.417,-433.701.209
