latitude_ocorrencia,longitude_ocorrencia
-228.654.866,-432.619.815
-229.330.159,-436.888.084
-228.600.881,-434.863.223
-229.439.699,-433.626.771
-22.856.508,-43.493.406
-228.593.331,-43.275.475.900.000.000
-229.645.712,-431.897.517
-229.089.149,-432.563.622
-229.640.068,-431.898.666
-228.493.094,-433.402.137
-229.645.712,-431.897.517
-229.923.239,-436.430.867
-228.624.341,-432.748.755
-228.763.889,-433.033.333
-22.866.598,-43.280.684
-229.009.359,-432.892.926
-228.662.164,-432.803.323
-228.881.816,-432.612.788
-22.895.024,-43.480.453
-228.496.343,-433.786.349
-228.875.573,-432.581.953
-228.419.674,-433.609.532
-22.819.757,-43.295.825
-22.895.332,-432.957.776
-228.604.006,-434.884.116
-228.627.778,-433.152.778
-229.377.123,-432.452.224
-229.089.651,-432.563.063
-229.441.667,-432.408.333
-228.725.957,-433.136
-229.372.466,-432.573.799
-229.851.806,-431.978.183
-228.678.058,-434.132.151
-22.823.741,-433.400.341
-228.820.321,-432.496.748
-228.225.602,-432.824.519
-228.742.263,-434.685.442
-228.627.778,-433.152.778
-228.469.239,-432.969.005
-228.627.778,-433.152.778
-228.197.204,-432.956.836
-228.600.881,-434.863.223
-228.388.125,-432.950.253
-228.612.593,-432.758.573
-229.645.712,-431.897.517
-228.891.479,-432.294.074
-229.066.018,-431.948.029
-229.064.123,-432.808.474
-229.133.505,-434.156.585
-229.078.627,-43.265.928.099.999.900
-228.568.425,-432.380.998
-228.440.802,-433.094.623
-228.763.107,-434.302.937
-228.670.763,-434.704.963
-228.618.479,-433.236.221
-228.235.797,-433.582.608
-22.893.675.000.000.000,-432.475.082
-229.077.837,-432.668.777
-228.728.064,-432.747.101
-228.750.113,-432.455.451
-228.677.852,-432.773.107
-228.654.866,-432.619.815
-228.604.006,-434.884.116
-228.604.006,-434.884.116
-228.580.462,-433.572.704
-229.209.931,-431.951.996
-228.496.343,-433.786.349
-228.820.321,-432.496.748
-229.025.345,-435.035.697
-228.152.644,-433.712.154
-228.550.195,-434.971.339
-228.923.941,-434.177.244
-229.225,-431.925
-228.563.684,-434.898.289
-229.209.831,-431.950.248
-228.927.517,-433.451.677
-228.401.095,-433.780.741
-228.342.161,-432.712.678
-229.481.688,-433.626.721
-228.487.256,-432.818.674
-229.441.667,-432.408.333
-228.427.263,-433.730.742
-229.225,-431.925
-22.980.727,-43.194.587
-229.273.536,-431.956.935
-228.196.976,-432.943.395
-229.095.665,-432.553.859
-229.816.912,-431.962.577
-229.347.222,-432.047.222
-228.574.971,-432.430.137
-229.048.084,-433.550.791
-229.247.213,-43.197.499
-228.662.669,-433.318.801
-2.291.329,-43.253.481
-228.609.444,-434.967.083
-228.614.624,-432.731.533
-228.628.766,-43.279.502
-228.649.861,-432.618.042
-228.630.074,-432.778.773
-22.877.127,-433.021.914
-228.472.161,-432.754.407
-229.132.836,-431.815.457
-229.265.111,-431.964.401
-22.926.216,-43.196.518
-228.585.061,-433.257.025
-228.421.462,-433.756.683
-228.759.836,-433.024.082
-228.131.401,-43.382.459
-228.901.332,-432.706.267
-228.627.778,-433.152.778
-228.207.342,-432.918.436
-22.870.407,-43.479.767
-229.605.062,-431.706.087
-228.759.836,-433.024.082
-22.856.242,-43.496.071
-228.328.861,-433.631.385
-228.612.593,-432.758.573
-22.834.494,-43.376.178
-228.146.299,-433.808.791
-228.660.157,-432.689.779
-228.603.985,-432.821.082
-229.025.225,-435.488.114
-228.622.222,-432.405.556
-229.120.556,-436.146.683
-228.313.558,-43.302.223
-229.211.419,-431.941.205
-228.612.593,-432.758.573
-230.179.997,-435.432.374
-229.130.039,-43.248.484.500.000.000
-228.830.377,-432.457.507
-228.937.596,-435.373.003
-22.895.211,-43.481.719
-22.895.211,-43.481.719
-229.191.206,-431.907.328
-228.184.513,-433.030.143
-229.048.084,-433.550.791
-228.797.839,-432.504.594
-228.461.779,-432.795.599
-22.942.503,-431.812.164
-228.649.861,-432.618.042
-229.307.681,-431.890.808
-229.047.379,-4.335.523
-228.759.836,-433.024.082
-229.395.041,-432.515.359
-228.654.866,-432.619.815
-229.441.667,-432.408.333
-22.860.824,-43.274.208
-22.870.407,-43.479.767
-229.805.328,-43.193.665
-22.862.008,-43.490.757
-229.151.082,-434.210.399
-22.901.594,-43.208.458
-228.882.898,-432.492.801
-229.152.533,-434.208.262
-22.856.358,-43.490.023
-228.472.161,-432.754.407
-228.604.006,-434.884.116
-229.002.778,-431.952.778
-229.159.187,-432.666.956
-228.842.759,-432.487.807
-228.604.006,-434.884.116
-228.654.866,-432.619.815
-228.725.957,-433.136
-228.969.521,-433.457.912
-228.725.334,-433.363.639
-228.257.676,-433.389.194
-228.622.012,-432.638.393
-228.830.377,-432.457.507
-229.292.805,-432.027.587
-228.397.731,-434.054.321
-229.077.451,-434.207.116
-229.394.794,-432.515.432
-229.150.773,-434.207.282
-229.369.426,-43.175.787
-22.847.331,-432.754
-22.847.378,-43.275.217
-228.620.054,-434.901.391
-228.469.239,-432.969.005
-228.886.379,-432.564.503
-229.420.012,-433.624.701
-229.151.971,-434.210.123
-228.627.778,-433.152.778
-229.048.084,-433.550.791
-228.342.172,-433.949.679
-228.627.778,-433.152.778
-228.654.866,-432.619.815
-22.980.727,-43.194.587
-228.622.187,-432.743.218
-229.481.688,-433.626.721
-228.230.742,-433.861.426
-229.395.041,-432.515.359
-228.747.578,-435.016.806
-229.155.343,-432.443.327
-228.406.078,-433.439.838
-228.806.699,-4.327.071
-229.394.232,-432.515.561
-229.394.232,-432.515.561
-229.195.367,-432.015.238
-229.481.688,-433.626.721
-22.872.736,-43.419.491
-229.394.795,-432.511.884
-22.847.331,-432.754
-229.441.667,-432.408.333
-228.646.383,-432.939.439
-228.852.836,-434.592.367
-228.220.151,-432.712.566
-229.736.754,-433.634.809
-228.112.324,-43.362.527.299.999.900
-22.817.442,-43.382.747
-22.821.605,-43.381.917
-228.226.008,-433.840.812
-22.838.009,-432.880.154
-228.322.403,-433.904.486
-22.860.851,-43.429.046
-228.459.238,-432.772.279
-22.804.635,-43.347.357
-228.196.976,-432.943.395
-228.448.389,-432.768.034
-228.639.446,-432.874.142
-228.487.441,-432.828.813
-228.487.441,-432.828.813
-228.211.267,-432.851.082
-228.487.441,-432.828.813
-228.603.985,-432.821.082
-228.560.858,-434.835.918
-228.882.898,-432.492.801
-228.540.043,-434.963.719
-228.696.902,-433.167.235
-229.632.188,-431.904.874
-228.487.441,-432.828.813
-228.612.593,-432.758.573
-228.600.881,-434.863.223
-229.442.116,-433.678.663
-228.558.216,-43.315.785
-22.924.215,-43.242.437.699.999.900
-229.879.841,-432.479.825
-228.627.778,-433.152.778
-229.137.671,-432.639.551
-229.128.702,-432.845.545
-228.626.186,-432.959.604
-229.048.084,-433.550.791
-229.252.336,-432.053.404
-22.882.746,-43.251.706
-228.604.006,-434.884.116
-228.709.633,-434.426.703
-228.387.571,-433.241.817
-228.593.331,-43.275.475.900.000.000
-228.627.778,-433.152.778
-228.487.441,-432.828.813
-228.469.239,-432.969.005
-228.487.441,-432.828.813
-228.186.686,-433.094.934
-228.722.222,-432.913.889
-228.976.187,-432.612.322
-228.153.223,-43.360.173
-228.646.137,-433.621.545
-228.892.065,-432.379.478
-228.654.866,-432.619.815
-227.907.923,-43.180.986
-228.574.907,-43.329.357
-229.645.712,-431.897.517
-22.819.728,-43.289.132
-228.648.423,-434.771.013
-228.593.331,-43.275.475.900.000.000
-228.968.333,-434.877.927
-228.509.397,-433.754.629
-229.336.972,-432.577.943
-228.593.331,-43.275.475.900.000.000
-228.648.423,-434.771.013
-22.864.988,-43.476.957
-229.336.972,-432.577.943
-22.960.443,-43.170.702
-2.292.143,-43.664.796
-22.913.199,-432.808.839
-229.473.031,-433.594.905
-229.433.449,-433.707.495
-229.104.508,-432.536.242
-228.895.523,-432.296.116
-22.948.972,-43.362.015
-229.442.116,-433.678.663
-229.607.135,-431.695.418
-229.607.135,-431.695.418
-229.048.084,-433.550.791
-229.048.084,-433.550.791
-229.481.688,-433.626.721
-229.441.667,-432.408.333
-228.234.438,-433.584.503
-22.960.443,-43.170.702
-228.627.778,-433.152.778
-228.603.985,-432.821.082
-22.892.074,-432.399.571
-228.641.667,-433.238.889
-228.234.438,-433.584.503
-228.641.667,-433.238.889
-228.255.312,-4.334.446
-228.627.778,-433.152.778
-229.441.667,-432.408.333
-22.947.952,-43.359.276
-229.110.577,-432.564.735
-229.284.499,-43.217.775
-22.887.381,-43.253.136
-228.656.341,-432.831.551
-22.878.794,-43.491.709
-228.654.866,-432.619.815
-22.811.487,-433.207.177
-229.441.667,-432.408.333
-22.984.391,-432.019.098
-228.875.893,-432.527.367
-229.394.794,-432.515.432
-228.387.571,-433.241.817
-228.644.709,-435.488.999
-228.853.838,-432.732.063
-22.820.816,-4.338.332
-229.110.577,-432.564.735
-22.846.525,-43.281.796
-229.048.084,-433.550.791
-229.178.401,-432.877.569
-228.210.714,-433.829.286
-2.292.707,-43.216.883
-228.715.838,-433.334.225
-228.255.312,-4.334.446
-22.875.343,-433.043.756
-228.814.021,-432.934.758
-229.139.409,-433.182.742
-228.533.394,-432.718.169
-22.856.292,-4.348.988
-22.865.682,-434.778.499
-228.713.763,-434.881.326
-229.015.371,-431.931.914
-228.208.745,-433.831.147
-228.593.331,-43.275.475.900.000.000
-229.219.194,-432.352.821
-229.052.507,-432.340.127
-229.052.507,-432.340.127
-22.879.637,-433.037.629
-229.613.492,-433.350.909
-22.948.089,-43.362.571
-229.008.163,-43.248.411
